token,available,filenames,sentences,usage_count
accept,true,"['accept.mp4']",1,1
address,true,"['address.mp4']",105,1
afternoon,true,"['afternoon.mp4']",2,1
alone,true,"['alone.mp4']",48,1
already,true,"['already.mp4']",87,1
arrive,true,"['arrive.mp4']",107,1
bathroom,true,"['bathroom.mp4']",91,1
bill,true,"['bill.mp4']",85,1
break,true,"['break.mp4']",40,1
breakfast,true,"['breakfast.mp4']",25,1
bus,true,"['bus.mp4']",100,1
call,true,"['call.mp4']",52,1
camera_available_placeholder,false,"[]",0,0
care,true,"['care.mp4']",14,1
cheap,false,"[]",0,0
charge,true,"['charge.mp4']",38,120
checkout,false,"[]",0,0
closed,true,"['closed.mp4']",83,1
coffee,true,"['coffee.mp4']",66,1
come,true,"['come.mp4']",52,1
come_with,true,"['come_with.mp4']",59,1
cost,true,"['cost.mp4']",73,1
danger,false,"[]",0,0
date_false_placeholder,false,"[]",0,0
day,true,"['day.mp4']",17,1
delayed,true,"['delayed.mp4']",109,1
dentist,false,"[]",0,0
doctor,true,"['doctor.mp4']",134,1
dinner,true,"['dinner.mp4']",88,1
discount,true,"['discount.mp4']",75,1
do_you,true,"['do_you.mp4']",63,1
down,true,"['down.mp4']",8,1
drink,true,"['drink.mp4']",64,1
earlier,true,"['earlier.mp4']",21,1
eat,true,"['eat.mp4']",63,1
email,true,"['email.mp4']",115,1
emergency,true,"['emergency.mp4']",141,1
everything,true,"['everything.mp4']",56,1
example_missing_token_1,false,"[]",0,0
explain,true,"['explain.mp4']",122,1
expensive,true,"['expensive.mp4']",74,1
family,true,"['family.mp4']",45,1
father,true,"['father.mp4']",42,1
fine,true,"['fine.mp4']",18,1
fired,false,"[]",0,0
fix,true,"['fix.mp4']",119,1
flight,true,"['flight.mp4']",109,1
food,true,"['food.mp4']",70,1
forget,true,"['forgot.mp4']",36,1
friend,true,"['friend.mp4']",51,1
fruits,false,"[]",0,0
go,true,"['go.mp4']",97,1
go_out,true,"['go_out.mp4']",88,1
going,true,"['going.mp4']",15,1
give,true,"['give.mp4']",85,1
good,true,"['good.mp4']",2,1
happy,true,"['happy.mp4']",54,1
have,true,"['have.mp4']",22,1
headache,true,"['headache.mp4']",133,1
help,true,"['help.mp4']",20,1
hospital,true,"['hospital.mp4']",135,1
how,true,"['how.mp4']",1,1
hungry,true,"['hungry.mp4']",61,1
inches,false,"[]",0,0
injured,true,"['injured.mp4']",145,1
internet,true,"['internet.mp4']",118,1
island,false,"[]",0,0
join,false,"[]",0,0
juice,false,"[]",0,0
journal,false,"[]",0,0
journey,false,"[]",0,0
keys,true,"['keys.mp4']",36,1
left,true,"['left.mp4']",95,1
let_us,true,"['lets.mp4']",40,1
like,true,"['like.mp4']",67,1
listen,false,"[]",0,0
live,true,"['live.mp4']",49,1
laptop,true,"['laptop.mp4']",117,1
late,true,"['late.mp4']",37,1
law,false,"[]",0,0
learn,false,"[]",0,0
leave,true,"['leaving.mp4']",26,1
library,false,"[]",0,0
market,true,"['market.mp4']",47,1
medicine,true,"['medicine.mp4']",140,1
meet,true,"['meet.mp4']",7,1
missing_token_example,false,"[]",0,0
missed,true,"['missed.mp4']",100,1
mother,true,"['mother.mp4']",41,1
more,true,"['more.mp4']",71,1
move,true,"['move.mp4']",143,1
my,true,"['my.mp4']",41,1
name,true,"['name.mp4']",6,1
near,true,"['near.mp4']",47,1
need,true,"['need.mp4']",20,1
new,false,"[]",0,0
night,true,"['night.mp4']",4,1
no,true,"['no.mp4']",56,1
not,true,"['not.mp4']",19,1
now,true,"['now.mp4']",26,1
order,true,"['order.mp4']",86,1
open,true,"['open.mp4']",84,1
online,true,"['online.mp4']",81,1
office,true,"['office.mp4']",27,1
ok,false,"[]",0,0
old,false,"[]",0,0
operate,false,"[]",0,0
oil,false,"[]",0,0
on,true,"['on.mp4']",33,1
of,true,"['of.mp4']",45,1
off,false,"[]",0,0
other,false,"[]",0,0
out,true,"['out.mp4']",88,1
paid,false,"[]",0,0
pack,true,"['pack.mp4']",79,1
password,true,"['password.mp4']",128,1
phone,true,"['phone.mp4']",38,1
please,true,"['please.mp4']",8,1
police,true,"['police.mp4']",149,1
price,true,"['price.mp4']",73,1
problem,true,"['problem.mp4']",116,1
proud,true,"['proud.mp4']",57,1
price_too_high,false,"[]",0,0
question_marker,false,"[]",0,0
queue,false,"[]",0,0
reach,true,"['reached.mp4']",27,104
ready,true,"['ready.mp4']",69,1
receive,false,"[]",0,0
relatives,true,"['relatives.mp4']",50,1
repeat,true,"['repeat.mp4']",12,1
restaurant,false,"[]",0,0
restart,true,"['restart.mp4']",129,1
return,false,"[]",0,0
right,true,"['right.mp4']",96,1
run,false,"[]",0,0
run_late,true,"['running_late.mp4']",37,1
see,true,"['see.mp4']",13,1
send,true,"['send.mp4']",114,1
safe,true,"['safe.mp4']",150,1
sad,true,"['sad.mp4']",55,1
school,false,"[]",0,0
screen,true,"['screen.mp4']",130,1
service,false,"[]",0,0
sign,false,"[]",0,0
sit,true,"['sit.mp4']",8,1
sit_down,true,"['sit_down.mp4']",8,1
shop,true,"['shop.mp4']",83,84
slow,true,"['slow.mp4']",118,1
show,true,"['show.mp4']",94,1
stopped,false,"[]",0,0
stop,true,"['stop.mp4']",98,1
station,true,"['station.mp4']",93,1
strange,false,"[]",0,0
street,false,"[]",0,0
study,true,"['study.mp4']",29,1
student,false,"[]",0,0
take,true,"['take.mp4']",40,1
taxi,true,"['taxi.mp4']",99,1
tea,true,"['tea.mp4']",65,1
teach,true,"['teacher.mp4']",122,1
tired,true,"['tired.mp4']",35,1
time,true,"['time.mp4']",101,1
town,false,"[]",0,0
train,true,"['train.mp4']",107,1
traffic,true,"['traffic.mp4']",102,1
travel,true,"['travelling.mp4']",108,1
true,false,"[]",0,0
tasty,true,"['tasty.mp4']",70,1
today,true,"['today.mp4']",21,1
towel,false,"[]",0,0
turn,true,"['turn.mp4']",95,96,1
two,false,"[]",0,0
ticket,false,"[]",0,0
trip,false,"[]",0,0
under,false,"[]",0,0
under_control,true,"['under_control.mp4']",148,1
up,true,"['up.mp4']",21,1
urgent,false,"[]",0,0
use,false,"[]",0,0
vehicle,false,"[]",0,0
wait,true,"['wait.mp4']",58,1
water,true,"['water.mp4']",64,139,82,1
watch,true,"['watch.mp4']",33,1
where,true,"['where.mp4']",15,91,92,93,135,107,1
which,false,"[]",0,0
why,true,"['why.mp4']",1,1
work,true,"['work.mp4']",22,28,112,1
working,true,"['working.mp4']",116,1
wallet,true,"['wallet.mp4']",80,1
want,true,"['want.mp4']",63,64,65,66,71,1
welcome,true,"['welcome.mp4']",10,1
what,true,"['what.mp4']",5,63,91,92,1
who,false,"[]",0,0
wash,true,"['washing.mp4']",31,1
wash_clothes,true,"['washing_clothes.mp4']",31,1
went,false,"[]",0,0
where_is,true,"['where_is.mp4']",91,92,46,1
worry,true,"['worry.mp4']",56,1
work_done,true,"['work_completed.mp4']",112,1
write,true,"['write.mp4']",126,1
wrong,false,"[]",0,0
yes,false,"[]",0,0
you,true,"['you.mp4']",1,12,13,52,1
your,true,"['your.mp4']",5,46,1
your_house,true,"['your_house.mp4']",46,1
zip_placeholder,false,"[]",0,0
